PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,id,HelpRow,name_bnetza,block_bnetza,name_uba,company,street,postcode,city,state,country_code,capacity_net_bnetza,capacity_gross_uba,fuel,technology,chp,chp_capacity_uba,commissioned,commissioned_original,retrofit,shutdown,status,type,lat,lon,eic_code_plant,eic_code_block,efficiency_data,efficiency_source,efficiency_estimate,energy_source_level_1,energy_source_level_2,energy_source_level_3,eeg,network_node,voltage,network_operator,merge_comment,comment
18.1,Biomassekraftwerk Bischofferode_BNA0103,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0103,#NV,Biomassekraftwerk Bischofferode,,,Stadtwerke Leipzig GmbH,,37345,Bischofferode,Thüringen,DE,18.1,,Biomass and biogas,Steam turbine,no,,2006,2006,,,operating,,51.48993,10.41307,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,Umspannwerk Bischofferode,20,TEN Thüringer Energienetze GmbH,,
18,Egger Kraftwerk Brilon_BNA0156a,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0156a,#NV,Egger Kraftwerk Brilon,Biomasse - KWK - Anlage,,Egger Holzwerkstoffe Brilon GmbH & Co. KG,Im Kissen 19,59929,Brilon ,Nordrhein-Westfalen,DE,18,,Biomass and biogas,Steam turbine,yes,,1990,1990,,,operating,,51.40667,8.60115,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,10,Westnetz GmbH,,
13.2,Werkskraftwerk Sappi Ehingen_BNA0232a,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0232a,#NV,Werkskraftwerk Sappi Ehingen,,,Sappi Ehingen GmbH,Kessel 5 - Turbine 5,89584,Ehingen,Baden-Württemberg,DE,13.2,,Biomass and biogas,Steam turbine,yes,,1990,1990,,,operating,,48.26698,9.72615,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,20,Netze BW GmbH,,
8,Werkskraftwerk Sappi Ehingen_BNA0232b,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0232b,#NV,Werkskraftwerk Sappi Ehingen,,,Sappi Ehingen GmbH,Kessel 4 - Turbine 3,89584,Ehingen,Baden-Württemberg,DE,8,,Biomass and biogas,Steam turbine,yes,,1961,1961,,,operating,,48.26693,9.72626,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,no,,6,Netze BW GmbH,,
22,Emden Biomasse_BNA0244,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0244,#NV,Emden Biomasse,,,Statkraft Markets GmbH,,26725,Emden,Niedersachsen,DE,22,,Biomass and biogas,Steam turbine,yes,,2005,2005,,,operating,,53.34217,7.20624,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,110,Avacon AG,,
20,Biomasse-HKW_BNA0250a,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0250a,#NV,Biomasse-HKW,,,innogy SE,Neuerostraße 8,49824,Emlichheim,Niedersachsen,DE,20,,Biomass and biogas,Steam turbine,yes,,2006,2006,,,operating,,52.619274,6.86931,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,MS,Westnetz GmbH,,
12.6,BMKW Flörsheim Wicker_BNA0277,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0277,#NV,BMKW Flörsheim Wicker,,,MVV Energie AG,Am Steinmühlenweg 5,65439,Flörsheim Wicker,Hessen,DE,12.6,,Biomass and biogas,Steam turbine,no,,2003,2003,,,operating,,50.022602,8.377209,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,,20,Syna GmbH ,,
12.4,BKF_BNA0283,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0283,#NV,BKF,,,Mainova AG,Alt Fechenheim 34,60382,Frankfurt am Main,Hessen,DE,12.4,,Biomass and biogas,Steam turbine,yes,,2004,2004,,,operating,,50.12943,8.76792,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,UW Hanauer Landstraße,10,NRM Netzdienste Rhein-Main GmbH,,
12.1,KWK Gütersloh_BNA0385,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0385,#NV,KWK Gütersloh,,,Pfleiderer Gütersloh GmbH,Stadtring Nordhorn 61,33332,Gütersloh,Nordrhein-Westfalen,DE,12.1,,Biomass and biogas,Steam turbine,yes,,2001,2001,,,operating,,51.91537,8.40031,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,Schaltanlage KWK,10,Netzgesellschaft Gütersloh mbH ,,
20,Biomasse-Verstromungs-Anlage_BNA0388,DE,STUR,BIO,0.38,9.558732394,7.812253521,0.040224969,0.040224969,2000,0,0,0.2,0.45,7,0,,,,,,,BNA0388,#NV,Biomasse-Verstromungs-Anlage,BVA,,Mark-E AG,,58099,Hagen,Nordrhein-Westfalen,DE,20,,Biomass and biogas,Steam turbine,yes,,2004,2004,,,operating,,51.411114,7.491698,,,,,0.38,Renewable energy,Bioenergy,Biomass and biogas,yes,U 101,110,Enervie AssetNetWork GmbH ,,
