,PHOT,WTOF,WTON,HROR
2015-01-06 23:00:00+00:00,0,0.277679627,0.240075291,0.28487101
2015-01-07 00:00:00+00:00,0,0.265436154,0.224481419,0.283449934
2015-01-07 01:00:00+00:00,0,0.224886914,0.216234917,0.282958024
2015-01-07 02:00:00+00:00,0,0.223570298,0.229159942,0.28268474
2015-01-07 03:00:00+00:00,0,0.223404876,0.230150287,0.282083516
2015-01-07 04:00:00+00:00,0,0.188473923,0.224197747,0.280935724
2015-01-07 05:00:00+00:00,0,0.157429243,0.226215135,0.280061216
2015-01-07 06:00:00+00:00,0,0.145635249,0.216079368,0.281536948
2015-01-07 07:00:00+00:00,0.001354171,0.164002669,0.204499132,0.282466113
2015-01-07 08:00:00+00:00,0.016323723,0.200890428,0.190639207,0.283121994
2015-01-07 09:00:00+00:00,0.04860222,0.227001625,0.184221849,0.283449934
2015-01-07 10:00:00+00:00,0.082060238,0.274068471,0.184616936,0.283777875
2015-01-07 11:00:00+00:00,0.101285981,0.289114068,0.190578192,0.283996502
2015-01-07 12:00:00+00:00,0.099609539,0.280042099,0.19968182,0.282138172
2015-01-07 13:00:00+00:00,0.075087202,0.284319214,0.186911289,0.282575426
2015-01-07 14:00:00+00:00,0.031017478,0.291896575,0.179727521,0.286401399
2015-01-07 15:00:00+00:00,0.0035864,0.296889369,0.192034955,0.287330564
2015-01-07 16:00:00+00:00,0,0.301020309,0.223415337,0.285636205
2015-01-07 17:00:00+00:00,0,0.295107957,0.264933999,0.286947967
2015-01-07 18:00:00+00:00,0,0.301246283,0.297031746,0.287877132
2015-01-07 19:00:00+00:00,0,0.306953447,0.335947265,0.287002624
2015-01-07 20:00:00+00:00,0,0.307065857,0.369227863,0.285526891
2015-01-07 21:00:00+00:00,0,0.306748047,0.384756795,0.285909488
2015-01-07 22:00:00+00:00,0,0.307003854,0.390749398,0.286401399
2015-01-07 23:00:00+00:00,0,0.306686118,0.397796055,0.285909488
